Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000019489	118	226	168	316	355	404
ENSRNOG00000054876	1	2	0	1	2	1
ENSRNOG00000024280	8	8	19	11	12	15
ENSRNOG00000019358	30	36	69	67	43	114
ENSRNOG00000057689	4	3	6	1	1	0
ENSRNOG00000055223	0	0	0	5	0	2
ENSRNOG00000055166	0	0	0	0	0	0
ENSRNOG00000018960	3617	8756	10006	11543	13598	19241
ENSRNOG00000052241	1	0	0	1	0	0
ENSRNOG00000018858	41	97	112	80	79	140
ENSRNOG00000053113	55	102	47	139	131	148
ENSRNOG00000018808	5	2	3	2	2	0
ENSRNOG00000054156	0	0	0	0	0	0
ENSRNOG00000024077	125	321	202	761	734	1071
ENSRNOG00000018773	48	74	70	157	158	215
ENSRNOG00000059321	0	0	0	0	0	0
ENSRNOG00000055161	0	0	0	0	0	0
ENSRNOG00000018690	4	4	5	5	3	11
ENSRNOG00000033265	3	0	1	0	0	0
ENSRNOG00000059050	15	11	6	5	0	0
ENSRNOG00000059359	1	0	0	0	0	0
ENSRNOG00000060413	5	3	1	1	0	1
ENSRNOG00000018191	18	4	5	4	0	1
ENSRNOG00000060991	2	2	0	0	0	1
ENSRNOG00000059866	23	45	32	62	55	76
ENSRNOG00000018163	70	128	90	160	161	204
ENSRNOG00000055098	3	4	3	0	0	1
ENSRNOG00000018052	101	133	269	300	174	259
ENSRNOG00000004144	11	8	16	8	17	13
ENSRNOG00000060056	1	0	0	1	0	0
ENSRNOG00000016919	417	651	774	1316	1179	1781
